accession,Ler(2)/Col(3),PLANT,latritude grads,lat mins,long grads,long mins,#Leaves LD-V,days LD-V,#Leaves LD+V,days LD+V,#Leaves ShD-V,days ShD-V,Leaves ShD+V,Days ShD+V,FLC / Tubulin,FRI / Tubulin,days 0W+V,days 2W+V,days 4W+V,days 8W+V,JICleavesLD+V,JICftLD+V,JICleavesLD-V,JICftLD-V
Na-1,2,79,47,50,1,50,19.8,33.7,14.6,25,47,86,30.83333333,46,0.166,0.283,36.3,30.6,25.9,20.3,16.4,27.7,17.1,30.9
Nw-0,3,82,50,50,8,50,10.7,25.2,19.8,31.2,65.7,88.5,46.33333333,65.66666667,0.032,0.584,23.9,18.8,20.5,18.8,13.9,25.5,10.8,22.9
Ost-0,1,83,60,50,17,50,200,200,28.5,36,200,125,81,95,2.07,0.723,NA,125,69.4,31.4,22,34.4,ND,ND
Pa-1,1,84,38,0,13,50,11.5,27,8.7,19.3,38.3,60.7,15.6,27.6,NA,NA,25.3,15.6,15.4,14.2,9.1,23.8,12.2,26
Per-1,1,85,58,0,56,0,18,34.3,14,27.5,NA,NA,NA,NA,0.361,0.469,27.4,21.4,NA,18.2,15,29,15.1,33.6
Petergof,2,86,59,53,29,58,16,29.7,18.8,27,61.7,89.7,NA,NA,0.109,0.246,33.7,24.8,NA,20.8,18.4,29.1,16.9,30.7
Pi-0,1,87,47,0,11,0,51.2,48.3,10.8,28.8,53.8,78.5,29,42.83333333,NA,NA,33.7,25.6,NA,22,17.7,26.7,17.5,33.5
Pla-0,1,88,41,50,3,0,44.4,52.5,11.7,25.7,61.2,78,29.8,40.2,NA,NA,52.8,30.2,NA,18.2,14.7,25.6,69.5,50.9
Rak-2,2,89,49,2,16,19,15,27.5,15,30.5,56.7,72.3,44.2,44.6,NA,NA,25.2,19.2,NA,18.9,15.4,32.2,12.2,26.3
Rubezhnoe-1,1,91,49,1,38.28,28,33,29.5,10.3,29.8,60.7,81.3,21.8,37.16666667,NA,NA,44.7,25.8,NA,16.4,14.9,26,30.7,42.6
Santa Clara,2,93,49,49,14.23,23,10,25.4,11.6,26.6,39,87.2,39.5,59.66666667,0.023,0.146,23.6,18.2,NA,18.3,12.2,27.2,8.9,25
Sap-0,1,94,41,30,2.3,30,29,41.8,17,27.6,78.2,87.8,39,44,0.862,1.27,31.9,25.2,NA,18.5,16.4,26.8,23.1,35.2
St-0,1,97,59,0,18,0,20.8,35.5,15.3,30.3,66.7,90.5,55.6,57.8,0.058,NA,NA,NA,NA,NA,15.9,32.1,23.4,37
Stw-0,1,98,52,50,36,50,NA,NA,15,24,54,69.2,31.83333333,40.5,NA,NA,35.2,24.6,NA,22.1,16,26.6,20.7,32
Ta-0,1,99,49,50,14,50,22,32.8,19.8,27.2,72.4,81.6,37,47,0.156,2.64,32.6,23.8,NA,20.6,17.4,26,18.1,28.9
